key|category|name|region|latitude|longitude|season|days|highlights|foods|transport|image_queries
guilin_yangshuo|国内游|桂林阳朔|广西|24.7736|110.4966|4—5月、9—10月|4|漓江;遇龙河;相公山|桂林米粉;啤酒鱼|桂林市区与阳朔之间可乘动车或大巴，县内适合公交、骑行与步行组合|Guilin China;Yangshuo China;Li River Guilin
dali_lijiang|国内游|大理丽江|云南|25.6065|100.2676|3—5月、9—11月|6|洱海;大理古城;玉龙雪山|喜洲粑粑;腊排骨|大理和丽江之间优先动车，古城内部以步行和公共交通为主|Dali Yunnan China;Lijiang Yunnan China;Erhai Lake
beijing_heritage|国内游|北京古都|北京|39.9042|116.4074|4—5月、9—10月|5|故宫;天坛;慕田峪长城|北京烤鸭;炸酱面|核心城区使用地铁，长城等远郊景点单独安排一日往返|Forbidden City Beijing;Temple of Heaven Beijing;Great Wall Beijing
zhangjiajie|国内游|张家界|湖南|29.1171|110.4792|4—6月、9—11月|4|武陵源;天门山;金鞭溪|三下锅;岩耳炖鸡|市区与武陵源分开住宿可减少折返，景区内按环保车和索道线路游览|Zhangjiajie China;Wulingyuan China;Tianmen Mountain
ili_xinjiang|国内游|伊犁河谷|新疆|43.9771|81.5275|5—8月|7|赛里木湖;那拉提;喀拉峻|手抓肉;烤包子|景点间距离较长，适合合规包车或自驾，并预留天气机动时间|Ili Xinjiang China;Sayram Lake;Nalati grassland
kyoto_osaka|出境游|京都大阪|日本|35.0116|135.7681|3—5月、10—11月|6|伏见稻荷大社;岚山;大阪城|寿司;大阪烧|城市间使用铁路，市内以轨道交通和步行为主|Kyoto Japan travel;Fushimi Inari;Osaka Castle Japan
chiang_mai|出境游|清迈|泰国|18.7883|98.9853|11月至次年2月|5|清迈古城;素贴山;宁曼路|泰北咖喱面;芒果糯米饭|古城适合步行，跨区域移动选择正规双条车或网约车|Chiang Mai Thailand;Doi Suthep;Chiang Mai old city
singapore|出境游|新加坡|新加坡|1.3521|103.8198|全年，避开正午暴晒|5|滨海湾;植物园;牛车水|海南鸡饭;叻沙|轨道交通覆盖主要区域，步行段注意高温和阵雨|Singapore Marina Bay;Singapore Botanic Gardens;Chinatown Singapore
iceland_ring|出境游|冰岛南岸|冰岛|63.4186|-19.0060|6—9月或冬季极光季|7|黄金圈;黑沙滩;冰川湖|羊肉汤;黑麦面包|天气变化快，自驾需根据路况调整，冬季优先正规小团|Iceland south coast;Iceland waterfall;Jokulsarlon Iceland
paris|出境游|巴黎|法国|48.8566|2.3522|4—6月、9—10月|5|卢浮宫;塞纳河;蒙马特|可颂;法式洋葱汤|核心区以地铁和步行为主，热门场馆提前预约|Paris France travel;Louvre Paris;Montmartre Paris
